id,name,price_rm,serving_g,calories,protein_g,carbs_g,fat_g,image,source,poultry_status
1,Grilled Chicken Rice,10.50,350,520,35,55,12,assets/meals/grilled-chicken-rice.jpg,Prototype,contains
2,Chicken Rice,9.00,300,450,28,50,10,assets/meals/chicken-rice.jpg,Prototype,contains
3,Nasi Lemak,8.50,320,560,20,65,22,assets/meals/nasi-lemak.jpg,Prototype,unknown
4,Roti Canai,6.00,150,380,10,45,16,assets/meals/roti-canai.jpg,Prototype,unknown
5,Nasi Goreng,7.50,300,480,15,60,18,assets/meals/nasi-goreng.jpg,Prototype,unknown
6,Mee Goreng,7.00,280,460,14,58,16,assets/meals/mee-goreng.jpg,Prototype,unknown
7,Grilled Fish with Rice,12.00,350,490,38,45,10,assets/meals/grilled-fish-rice.jpg,Prototype,unknown
8,Vegetable Salad with Egg,9.50,250,320,18,25,14,assets/meals/vegetable-salad-egg.jpg,Prototype,unknown
9,Beef Rendang Rice,13.50,350,620,30,55,28,assets/meals/beef-rendang-rice.jpg,Prototype,unknown
10,Tofu and Vegetable Rice,6.50,300,400,16,55,10,assets/meals/tofu-vegetable-rice.jpg,Prototype,unknown
11,Chicken Chop,11.00,320,540,32,48,20,assets/meals/chicken-chop.jpg,Prototype,contains
12,Tuna Sandwich Set,8.00,220,350,22,35,12,assets/meals/tuna-sandwich-set.jpg,Prototype,unknown
13,Economy Rice (3 dishes),7.50,350,500,20,60,15,assets/meals/economy-rice.jpg,Prototype,unknown
14,Curry Mee,8.50,300,470,16,55,20,assets/meals/curry-mee.jpg,Prototype,unknown
15,Chicken Satay (10 sticks),10.00,200,450,30,20,25,assets/meals/chicken-satay.jpg,Prototype,contains
